source,target,prob
tefgum,ca,0.022864455359028264
tefgum,nhay,0.01810266649438146
tefgum,nhao,0.018052692462739647
tefgum,vuot,0.01716592012932156
tefgum,truong,0.016817770886966052
tefgum,tran,0.01678245596038032
tefgum,tra,0.016426798629606904
pefang,kin,0.16931791013369296
pefang,đao,0.16832210642964343
pefang,cach,0.16713785416118174
pefang,bo,0.1621522173159203
pefang,thi,0.1428941872553012
pefang,truong,0.02466767608890891
pefang,si,0.023542839233137946
pefang,sa,0.022626921889675643
pefang,la,0.021949995508911465
pefang,chien,0.016146538527973663
pefang,noi,0.010602689097326428
pefang,ton,0.009722666481035072
pefang,dam,0.009583800146432944
pefang,ha,0.00949427554410164
pefang,xuong,0.00918498698368291
pefang,len,0.008031170166694544
pefang,dung,0.006441535151373462
pefang,sao,0.0038264214647140598
pefang,minh,0.0034655213337174556
pefang,ta,0.0024439331593235115
de,nguoi,0.09096986795037863
de,ho,0.08218529201334852
de,cac,0.07317027661560098
de,vua,0.045422975079116565
de,va,0.04254504952955956
de,la,0.03764018371675694
de,đa,0.03512922934396856
de,ra,0.031150081779435193
de,bi,0.027945271422867183
de,cho,0.025785700936601395
de,noi,0.021078215429959402
de,ta,0.019186890583297096
de,con,0.018729884060793216
de,ong,0.015893266362190087
de,nhung,0.014234744144028297
de,đo,0.014144544429016087
de,gia,0.013727483913477237
de,co,0.013320968714672659
de,cua,0.011422054885696167
de,trong,0.010789010088355271
iem,cac,0.21742691069213388
iem,em,0.18194291693719894
iem,anh,0.17932825983532683
iem,nguoi,0.09027196897991514
iem,ta,0.019322512030236633
iem,hay,0.018785999404706072
iem,cho,0.013598993328823292
iem,la,0.012131941338681356
iem,se,0.011245009613342311
iem,ma,0.008838578039608769
iem,phai,0.008536671858694509
iem,nhung,0.007649811110323298
iem,cua,0.007310281270340131
iem,đa,0.006689642914043374
iem,noi,0.0066395891831227466
iem,khong,0.006114348143699103
iem,the,0.00563282616148928
iem,toi,0.005593735667750694
iem,lam,0.005524456555656491
iem,va,0.005255479385160848
ko,cho,0.06249450355900303
ko,nguoi,0.056523287973689725
ko,va,0.031887507011803026
ko,toi,0.028201131083062082
ko,cua,0.027377891690953615
ko,co,0.024876462938574755
ko,con,0.02369167275607665
ko,đa,0.02347576457439158
ko,la,0.0224572428521529
ko,ta,0.02152354044278897
ko,khong,0.018404396490762708
ko,nhung,0.01812126570749794
ko,lam,0.017732318162618905
ko,noi,0.0167011236114842
ko,voi,0.01611328343129306
ko,ho,0.015982979581948265
ko,chung,0.015601345336140472
ko,cac,0.01531155965669977
ko,ma,0.015251803776949723
ko,cung,0.01480226739263815
hma,thuong,0.2005832453277651
hma,khong,0.03606379686941002
hma,pham,0.03034084245129176
hma,mai,0.029824326843232343
hma,tho,0.018575887655598138
hma,cuoc,0.018475653618642077
hma,qua,0.018107797573439364
hma,toi,0.01774777023408325
hma,chu,0.01689182544518916
hma,buoc,0.0168433215069415
hma,cu,0.016371377595700152
hma,đa,0.016177776432896675
hma,them,0.015526634285035769
hma,viec,0.015327667771471954
hma,kheo,0.015094985096136337
hma,lau,0.014941681541552088
hma,bon,0.013170897000624623
hma,han,0.01266228707844168
hma,chut,0.012033851504072515
hma,ngay,0.011848791272972099
malei,nhung,0.639208738071727
malei,toi,0.11345544672385935
malei,lai,0.05326381077941575
malei,co,0.033033021071972236
malei,van,0.027219234167303475
malei,khong,0.013510464243581323
malei,qua,0.00875374545077045
malei,chi,0.006372222255364699
malei,rat,0.006073126363524934
malei,the,0.006040702542576017
malei,ma,0.005517097653449681
malei,hieu,0.005251549020041972
malei,anh,0.005081580280066605
malei,cam,0.004616345591186245
malei,nua,0.00448683616545855
malei,roi,0.00432413825249755
malei,cau,0.003762232438803808
malei,đuoc,0.0027170762193957443
malei,lo,0.00247214259954155
malei,no,0.0023324039876438524
boih,đa,0.23249500181199667
boih,roi,0.0666572987262801
boih,ta,0.049797224746355076
boih,la,0.03979065598382616
boih,nguoi,0.036829704503685896
boih,con,0.026512874607983843
boih,cua,0.02354319079134357
boih,va,0.016029590510932983
boih,chung,0.015830932584996123
boih,cac,0.013637715575992186
boih,cho,0.013173678209141526
boih,nhung,0.013107663946857745
boih,chua,0.012896664982296168
boih,noi,0.012833643588331426
boih,vi,0.012750144865547472
boih,đuoc,0.012564123085133778
boih,toi,0.012519424260434934
boih,chinh,0.010504931648185348
boih,lam,0.009669655659918435
boih,ma,0.009409877537566138
nam,đi,0.3479004380294701
nam,đen,0.15443126551229452
nam,nguoi,0.03510214275279858
nam,va,0.023751267011431106
nam,toi,0.018184460023206214
nam,voi,0.018137838411529335
nam,ong,0.0163643885001317
nam,ra,0.01428258823802676
nam,cung,0.011284301839515004
nam,ho,0.010691921143868693
nam,len,0.010398083073543658
nam,ma,0.009622222385032726
nam,noi,0.00935479058605423
nam,cac,0.009329945390047695
nam,đa,0.009219859966822008
nam,cho,0.00869744834477183
nam,lai,0.008067064535160937
nam,đe,0.007400819432848947
nam,đo,0.007369231013740006
nam,dan,0.007223655552028833
juat,luat,0.33333836770159925
juat,le,0.10736193473155015
juat,phap,0.08414041332338502
juat,quen,0.031149042679824542
juat,cac,0.021975203924254918
juat,nguoi,0.017949554158482386
juat,la,0.015726407757033475
juat,theo,0.01498886082004255
juat,ran,0.014721878505046984
juat,cua,0.013530977297995267
juat,thuong,0.012305087055595642
juat,đieu,0.010867974908916053
juat,ban,0.010793953699214712
juat,nhung,0.010468471133484971
juat,ve,0.009401437910920863
juat,thi,0.008377568694413307
juat,toi,0.008354557756417025
juat,va,0.008259177696415699
juat,tuc,0.007898867854123307
juat,giu,0.007764121075832318
me,me,0.6342665259724446
me,con,0.07262768217687429
me,o,0.022805019813963046
me,cho,0.01768851516854378
me,cha,0.016026289118276294
me,la,0.010217862982704098
me,cua,0.009452180340704965
me,lam,0.008552201004672383
me,nguoi,0.008393756775669392
me,đi,0.008304825341841328
me,ra,0.007696764795698695
me,ba,0.007343928558111103
me,toi,0.0073317372763270355
me,ue,0.006337907460865257
me,a,0.005970572199544579
me,đa,0.00576581124475921
me,co,0.005719384736653703
me,ta,0.004733134058397882
me,khong,0.004713246355942663
me,voi,0.0044077459966249035
choh,cay,0.08767104624431013
choh,may,0.06162935578204512
choh,đat,0.05846079509411176
choh,san,0.0508145463581351
choh,lam,0.042214585899223736
choh,đai,0.03524101848791999
choh,đong,0.03188675692469484
choh,cuoc,0.028865556273656074
choh,bi,0.02536241811942925
choh,nguoi,0.024802367949453855
choh,no,0.02476290081516406
choh,cho,0.024760647280282454
choh,tac,0.024394711788666326
choh,co,0.017793125536056352
choh,trong,0.016929101621826807
choh,xuat,0.01583168972294899
choh,hoa,0.014090433470019911
choh,nong,0.013994863805048859
